url,greekText,
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.1/?format=json,"
                      ἃς οἱ πλάνοι καθεῖλον ἐνθάδ᾽ εἰκόνας
 ἄνακτες ἐστήλωσαν εὐσεβεῖς πάλιν.
",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.2/?format=json,"
                      θεῖος Ἰουστῖνος, Σοφίης πόσις, ᾧ πόρε Χριστὸς
 πάντα διορθοῦσθαι, καὶ κλέος ἐν πολέμοις,
μητρὸς ἀπειρογάμοιο δόμον σκάζοντα νοήσας,
 σαθρὸν ἀποσκεδάσας τεῦξέ μιν ἀσφαλέως.
",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.3/?format=json,"
                     ὁ πρὶν Ἰουστῖνος περικαλλέα δείματο νηὸν
τοῦτον μητρὶ Θεοῦ, κάλλεϊ λαμπόμενον:
ὁπχότερος δὲ μετ᾽ αὐτὸν Ἰουστῖνος βασιλεύων
κρείσσονα τῆς προτέρης ὤπασεν ἀγλαΐην.

                  ",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.4/?format=json,"
                      τοῦτον Ἰωάννῃ, Χριστοῦ μεγάλῳ θεράποντι,
 Στούδιος ἀγλαὸν οἶκον ἐδείματο: καρπαλίμως δὲ
 τῶν κάμεν εὕρετο μισθόν, ἑλὼν ὑπατηίδα ῥάβδον.
",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.5/?format=json,"
                     τόνδε Θεῷ κάμες οἶκον, Ἀμάντιε, μεσσόθι πόντου,
τοῖς πολυδινήτοις κύμασι μαρνάμενος.
οὐ νότος, οὐ βορέης ἱερὸν σέο δῶμα τινάξει,
 νηῷ θεσπεσίῳ τῷδε φυλασσόμενον.

                      ζώοις ἤματα πολλά: σὺ γὰρ νεοθηλέα Ῥώμην,
 πόντῳ ἐπαΐξας, θήκαο φαιδροτέρην.
",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.6/?format=json,"
                     Σφωράκιος ποίησε φυγὼν φλόγα μάρτυρι νηόν.
",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.7/?format=json,"
                      Σφωράκιε, ζώοντι φίλα θρεπτήρια τίνων
 γήθεεν Ἀντόλιος, σὸς ἀνεψιός: οἰχομένῳ δὲ
αἰεί σοι γεραρὴν τελέει χάριν ὥστε καὶ ἄλλην
 εὗρε, καὶ ἐν νηῷ ς1᾽ ἀνεθήκατο, τὸν κάμες αὐτός.
",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.8/?format=json,"
                      Χριστὸν παμβασιλῆα φίλοις καμάτοισι γεραίρων
τοῦτον Ἰουστινιανὸς ἀγακλέα δείματο νηὸν

                      Πέτρῳ καὶ Παύλῳ: θεράπουσι γὰρ εὖχος ὀπάζων
αὐτῷ δή τις ἄνακτι φέρει πολυκυδέα τιμήν,

                      ἐνθάδε καὶ ψυχῇ καὶ ὄμμασι κέρδος ἑτοῖμον
εὐχαῖσιν μὲν ἕκαστος ὅ τι χρέος ἐστὶν ἑλέσθω,
 τερπέσθω δὲ ὁρῶν κάλλος καὶ δώματος αἴγλην.
",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.9/?format=json,"
                      καὶ τόδε σῶν καμάτων παναοίδιμον ἔργον ἐτύχθη,
Γερράδιε κλυτόμητι: σὺ γὰρ περικαλλέα νηὸν
 ἀγγελικῆς στρατιῆς σημάντορος αὖτις ἔδειξας.
",
https://anthologiagraeca.org/api/passages/urn:cts:greekLit:tlg7000.tlg001.ag:1.10/?format=json,"
                     Εὐδοκίη μὲν ἄνασσα Θεὸν σπεύδουσα γεραίρειν,
 πρώτη νηὸν ἔτευξε θεοφραδέος Πολυεύκτου
 ἀλλ᾽ οὐ τοῖον ἔτευξε καὶ οὐ τόσον οὔ τινι φειδοῖ,
οὐ κτεάτων χατέουσα — τίνος βασίλεια χατίζει;  —

                      ἀλλ᾽ ὡς θυμὸν ἔχουσα θεοπρόπον, ὅττι γενέθλην
 καλλείψει δεδαυῖαν ἀμείνονα κόσμον ὀπάζειν.
 ἔνθεν Ἰουλιανή, ζαθέων ἀμάρυγμα τοκήων,
 τέτρατον ἐκ κείνων βασιλήιον αἷμα λαχοῦσα,
 ἐλπίδας οὐκ ἔψευσεν ἀριστώδινος ἀνάσσης:

                     ἀλλά μιν ἐκ βαιοῖο μέγαν καὶ τοῖον ἐγείρει,
 κῦδος ἀεξήσασα πολυσκήπτρων γενετήρων
 πάντα γὰρ ὅσσα τέλεσσεν ὑπέρτερα τεῦξε τοκήων,
 ὀρθὴν πίστιν ἔχουσα φιλοχρίστοιο μενοινῆς.
τίς γὰρ Ἰουλιανὴν οὐκ ἔκλυεν, ὅττι καὶ αὐτοὺς

                     εὐκαμάτοις ἔργοισιν ἑοὺς φαίδρυνε τοκῆας,
εὐσεβίης ἀλέγουσα; μόνη δ᾽ ἱδρῶτι δικαίῳ
 ἄξιον οἶκον ἔτευξεν ἀειζώῳ Πολυεύκτῳ.
 καὶ γὰρ ἀεὶ δεδάηκεν ἀμεμφέα δῶρα κομίζειν
 πᾶσιν ἀεθλητῆρσιν ἐπουρανίου βασιλῆος.

                     
                      πᾶσα χθὼν βοάᾳ, πᾶσα πτόλις, ὅττι τοκῆας
 φαιδροτέρους ποίησεν ἀρειοτέροισιν ἐπ᾽ ἔργοις,
 ποῦ γὰρ Ἰουλιανὴν ἁγίοις οὐκ ἔστιν ἰδέσθαι
 νηὸν ἀναστήσασαν ἀγακλέα; ποῦ σέο μούνης
εὐσεβέων οὐκ ἔστιν ἰδεῖν σημήια χειρῶν;

                      ποῖος δ᾽ ἔπλετο χῶρος, ὃς οὐ μάθε σεῖο μενοινὴν
εὐσεβίης πλήθουσαν; ὅλης χθονὸς ἐνναετῆρες
 σοὺς καμάτους μέλπουσιν ἀειμνήστους γεγαῶτας.
 ἔργα γὰρ εὐσεβίης οὐ κρύπτεται: οὐ γὰρ ἀέθλους
 λήθη ἀποσβέννυσιν ἀριστοπόνων ἀρετάων.

                      ὅσσα δὲ σὴ παλάμη θεοπειθέα δώματα τεύχει
οὐδ᾽ αὐτὴ δεδάηκας: ἀμετρήτους γάρ, ὀίω,
 μούνη σὺ ξύμπασαν ἀνὰ χθόνα δείμαο ναούς,
οὐρανίου θεράποντας ἀεὶ τρομέουσα Θεοῖο.
ἴχνεσι δ᾽ εὐκαμάτοισιν ἐφεσπομένη γενετήρων

                      πᾶσιν, ἀειζώουσαν ἑὴν τεκτήνατο φύτλην,
εὐσεβίης ξύμπασαν ἀεὶ πατέουσα πορείην.
τοὔνεκά μιν θεράποντες ἐπουρανίου βασιλῆος,
 ὅσσοις δῶρα δίδωσιν, ὅσοις δωμήσατο νηούς,
 προφρονέως ἐρύεσθε σὺν υἱέι, τοῖό τε κούραις:

                      μίμνοι δ᾽ ἄσπετον εὖχος ἀριστοπόνοιο γενέθλης,
 εἰσόκεν ἠέλιος πυριλαμπέα δίφρον ἐλαύνει.",
